SIZEOF mjtBool 1
SIZEOF mjtSize 8
SIZEOF mjContact 584
SIZEOF mjOption 304
OFFSET mjOption timestep 0
OFFSET mjOption impratio 8
OFFSET mjOption tolerance 16
OFFSET mjOption ls_tolerance 24
OFFSET mjOption noslip_tolerance 32
OFFSET mjOption ccd_tolerance 40
OFFSET mjOption sleep_tolerance 48
OFFSET mjOption gravity 56
OFFSET mjOption wind 80
OFFSET mjOption magnetic 104
OFFSET mjOption density 128
OFFSET mjOption viscosity 136
OFFSET mjOption o_margin 144
OFFSET mjOption o_solref 152
OFFSET mjOption o_solimp 168
OFFSET mjOption o_friction 208
OFFSET mjOption integrator 248
OFFSET mjOption cone 252
OFFSET mjOption jacobian 256
OFFSET mjOption solver 260
OFFSET mjOption iterations 264
OFFSET mjOption ls_iterations 268
OFFSET mjOption noslip_iterations 272
OFFSET mjOption ccd_iterations 276
OFFSET mjOption disableflags 280
OFFSET mjOption enableflags 284
OFFSET mjOption disableactuator 288
OFFSET mjOption sdf_initpoints 292
OFFSET mjOption sdf_iterations 296
SIZEOF mjStatistic 56
OFFSET mjStatistic meaninertia 0
OFFSET mjStatistic meanmass 8
OFFSET mjStatistic meansize 16
OFFSET mjStatistic extent 24
OFFSET mjStatistic center 32
SIZEOF mjVisual 632
OFFSET mjVisual global.cameraid 0
OFFSET mjVisual global.orthographic 4
OFFSET mjVisual global.fovy 8
OFFSET mjVisual global.ipd 12
OFFSET mjVisual global.azimuth 16
OFFSET mjVisual global.elevation 20
OFFSET mjVisual global.linewidth 24
OFFSET mjVisual global.glow 28
OFFSET mjVisual global.realtime 32
OFFSET mjVisual global.offwidth 36
OFFSET mjVisual global.offheight 40
OFFSET mjVisual global.ellipsoidinertia 44
OFFSET mjVisual global.bvactive 48
OFFSET mjVisual quality.shadowsize 52
OFFSET mjVisual quality.offsamples 56
OFFSET mjVisual quality.numslices 60
OFFSET mjVisual quality.numstacks 64
OFFSET mjVisual quality.numquads 68
OFFSET mjVisual headlight.ambient 72
OFFSET mjVisual headlight.diffuse 84
OFFSET mjVisual headlight.specular 96
OFFSET mjVisual headlight.active 108
OFFSET mjVisual map.stiffness 112
OFFSET mjVisual map.stiffnessrot 116
OFFSET mjVisual map.force 120
OFFSET mjVisual map.torque 124
OFFSET mjVisual map.alpha 128
OFFSET mjVisual map.fogstart 132
OFFSET mjVisual map.fogend 136
OFFSET mjVisual map.znear 140
OFFSET mjVisual map.zfar 144
OFFSET mjVisual map.haze 148
OFFSET mjVisual map.shadowclip 152
OFFSET mjVisual map.shadowscale 156
OFFSET mjVisual map.actuatortendon 160
OFFSET mjVisual scale.forcewidth 164
OFFSET mjVisual scale.contactwidth 168
OFFSET mjVisual scale.contactheight 172
OFFSET mjVisual scale.connect 176
OFFSET mjVisual scale.com 180
OFFSET mjVisual scale.camera 184
OFFSET mjVisual scale.light 188
OFFSET mjVisual scale.selectpoint 192
OFFSET mjVisual scale.jointlength 196
OFFSET mjVisual scale.jointwidth 200
OFFSET mjVisual scale.actuatorlength 204
OFFSET mjVisual scale.actuatorwidth 208
OFFSET mjVisual scale.framelength 212
OFFSET mjVisual scale.framewidth 216
OFFSET mjVisual scale.constraint 220
OFFSET mjVisual scale.slidercrank 224
OFFSET mjVisual scale.frustum 228
OFFSET mjVisual rgba.fog 232
OFFSET mjVisual rgba.haze 248
OFFSET mjVisual rgba.force 264
OFFSET mjVisual rgba.inertia 280
OFFSET mjVisual rgba.joint 296
OFFSET mjVisual rgba.actuator 312
OFFSET mjVisual rgba.actuatornegative 328
OFFSET mjVisual rgba.actuatorpositive 344
OFFSET mjVisual rgba.com 360
OFFSET mjVisual rgba.camera 376
OFFSET mjVisual rgba.light 392
OFFSET mjVisual rgba.selectpoint 408
OFFSET mjVisual rgba.connect 424
OFFSET mjVisual rgba.contactpoint 440
OFFSET mjVisual rgba.contactforce 456
OFFSET mjVisual rgba.contactfriction 472
OFFSET mjVisual rgba.contacttorque 488
OFFSET mjVisual rgba.contactgap 504
OFFSET mjVisual rgba.rangefinder 520
OFFSET mjVisual rgba.constraint 536
OFFSET mjVisual rgba.slidercrank 552
OFFSET mjVisual rgba.crankbroken 568
OFFSET mjVisual rgba.frustum 584
OFFSET mjVisual rgba.bv 600
OFFSET mjVisual rgba.bvactive 616
